num_ligne;Année;Code académie;Nom académie;Discipline;IPS moyen;Caractéristique;Score moyen;Ecart type;groupe 1;groupe 2;groupe 3;groupe 4;groupe 5;groupe 6
5;2019;01;PARIS;Mathématiques;129.4;Fille;274.5;53.5;5.8;10.3;16.8;20.2;18.0;28.9
7;2019;02;AIX-MARSEILLE;Français;113.6;Ensemble;258.9;47.4;9.6;12.8;20.7;21.2;16.5;19.3
8;2019;02;AIX-MARSEILLE;Français;113.6;Fille;263.7;47.4;8.1;11.6;19.8;20.8;17.2;22.5
10;2019;02;AIX-MARSEILLE;Mathématiques;113.6;Ensemble;258.1;46.8;8.0;14.9;22.7;21.8;15.5;17.2
16;2019;03;BESANCON;Mathématiques;113.1;Ensemble;269.3;43.8;3.0;10.4;21.8;24.3;18.7;21.9
31;2019;07;DIJON;Français;112.9;Ensemble;265.7;43.2;5.1;10.6;21.0;23.8;18.4;21.1
35;2019;07;DIJON;Mathématiques;112.9;Fille;257.2;42.2;5.7;15.2;24.6;24.2;16.0;14.3
36;2019;07;DIJON;Mathématiques;112.9;Garçon;269.6;44.0;3.4;9.4;20.5;24.9;19.3;22.4
44;2019;09;LILLE;Français;108.4;Fille;263.4;43.5;5.4;12.8;21.7;22.5;17.7;19.9
48;2019;09;LILLE;Mathématiques;108.4;Garçon;264.4;45.7;5.1;12.5;22.5;23.2;16.9;19.8
51;2019;10;LYON;Français;117.7;Garçon;262.3;44.6;7.1;12.1;20.5;22.1;18.2;20.0
54;2019;10;LYON;Mathématiques;117.7;Garçon;275.5;48.6;3.4;8.9;18.0;22.8;19.3;27.5
61;2019;12;NANCY-METZ;Français;110.7;Ensemble;266.6;43.2;4.8;10.5;20.9;23.2;19.0;21.6
69;2019;13;POITIERS;Français;114.8;Garçon;259.6;41.7;6.5;11.9;22.5;24.8;18.1;16.2
70;2019;13;POITIERS;Mathématiques;114.8;Ensemble;264.2;43.3;4.2;12.1;23.0;24.8;17.2;18.7
78;2019;14;RENNES;Mathématiques;118.7;Garçon;279.4;43.8;1.7;6.1;16.8;25.3;22.1;28.0
81;2019;15;STRASBOURG;Français;113.7;Garçon;258.0;43.8;7.9;13.5;22.0;22.3;17.7;16.5
92;2019;17;NANTES;Français;118.0;Fille;272.2;43.0;3.9;8.3;18.5;23.2;20.8;25.4
95;2019;17;NANTES;Mathématiques;118.0;Fille;266.6;40.8;2.9;10.6;21.9;26.1;19.5;18.9
99;2019;18;ORLEANS-TOURS;Français;114.0;Garçon;262.4;41.2;5.4;11.0;22.9;23.6;19.1;17.9
111;2019;20;AMIENS;Français;108.3;Garçon;255.5;41.3;6.9;15.1;24.2;23.0;16.5;14.2
116;2019;22;LIMOGES;Français;113.0;Fille;270.4;43.2;4.0;9.9;19.5;21.9;19.9;24.9
134;2019;25;VERSAILLES;Français;123.4;Fille;270.1;49.4;6.5;10.7;18.2;19.6;17.9;27.2
140;2019;27;CORSE;Français;109.2;Fille;261.0;44.3;6.3;15.4;19.8;23.6;15.5;19.4
150;2019;28;LA REUNION;Mathématiques;96.7;Garçon;244.9;42.4;11.0;22.1;27.0;19.2;10.7;10.0
153;2019;31;MARTINIQUE;Français;103.7;Garçon;237.2;45.0;19.8;20.8;21.0;18.6;10.1;9.6
161;2019;32;GUADELOUPE;Mathématiques;99.9;Fille;228.1;42.6;24.1;26.6;21.7;13.7;7.9;5.9
162;2019;32;GUADELOUPE;Mathématiques;99.9;Garçon;232.4;48.4;21.8;23.2;23.7;14.6;8.6;8.1
166;2019;33;GUYANE;Mathématiques;87.3;Ensemble;214.5;44.5;39.1;25.0;17.3;10.3;3.9;4.5
169;2019;43;MAYOTTE;Français;72.6;Ensemble;173.3;50.7;71.0;15.0;8.3;3.5;1.3;0.8
173;2019;43;MAYOTTE;Mathématiques;72.6;Fille;181.3;42.6;70.6;17.8;7.9;2.8;0.5;0.5
189;2020;01;PARIS;Français;129.9;Garçon;287.9;53.0;4.0;6.4;12.3;17.7;20.1;39.5
195;2020;02;AIX-MARSEILLE;Français;113.8;Garçon;264.9;44.7;5.3;10.7;21.9;23.5;18.6;20.1
208;2020;04;BORDEAUX;Mathématiques;118.7;Ensemble;265.4;46.7;5.2;13.2;21.8;22.1;16.4;21.3
211;2020;06;CLERMONT-FERRAND;Français;115.2;Ensemble;278.0;43.9;2.1;6.9;17.1;24.3;21.0;28.6
217;2020;07;DIJON;Français;112.9;Ensemble;272.0;42.2;2.7;8.2;19.5;25.3;21.0;23.2
218;2020;07;DIJON;Français;112.9;Fille;275.0;43.4;2.4;7.4;19.1;24.6;20.8;25.7
220;2020;07;DIJON;Mathématiques;112.9;Ensemble;260.0;45.0;6.2;15.4;23.7;21.8;15.3;17.6
238;2020;10;LYON;Mathématiques;117.6;Ensemble;267.3;49.2;6.1;12.5;19.9;21.6;16.8;23.2
244;2020;11;MONTPELLIER;Mathématiques;112.1;Ensemble;255.7;46.2;8.0;17.5;24.1;20.6;13.8;16.0
249;2020;12;NANCY-METZ;Français;111.2;Garçon;269.0;41.8;3.0;9.7;21.3;24.6;19.6;21.8
260;2020;14;RENNES;Français;118.7;Fille;282.0;42.6;1.2;5.4;16.0;24.0;22.4;31.0
262;2020;14;RENNES;Mathématiques;118.7;Ensemble;269.6;44.8;3.2;10.5;22.0;23.9;18.0;22.4
263;2020;14;RENNES;Mathématiques;118.7;Fille;263.5;42.5;4.0;12.6;24.3;24.0;16.8;18.2
264;2020;14;RENNES;Mathématiques;118.7;Garçon;276.8;46.3;2.3;7.9;19.3;23.6;19.5;27.3
271;2020;16;TOULOUSE;Français;120.1;Ensemble;278.1;45.1;2.5;7.5;16.9;23.1;21.0;29.1
274;2020;16;TOULOUSE;Mathématiques;120.1;Ensemble;270.8;48.9;4.7;11.1;20.0;22.0;17.1;25.0
277;2020;17;NANTES;Français;118.4;Ensemble;276.6;42.2;1.9;6.6;18.1;25.3;21.7;26.5
282;2020;17;NANTES;Mathématiques;118.4;Garçon;280.7;47.6;2.0;7.4;17.3;22.6;20.0;30.7
283;2020;18;ORLEANS-TOURS;Français;114.2;Ensemble;273.0;43.7;2.7;8.4;19.5;24.2;20.7;24.5
292;2020;19;REIMS;Mathématiques;109.0;Ensemble;254.5;45.0;8.3;17.8;23.6;21.4;13.7;15.2
294;2020;19;REIMS;Mathématiques;109.0;Garçon;260.7;46.7;6.4;15.8;21.8;22.1;15.5;18.6
295;2020;20;AMIENS;Français;108.7;Ensemble;265.9;42.6;4.0;11.2;22.6;24.0;18.2;20.1
296;2020;20;AMIENS;Français;108.7;Fille;269.4;43.6;3.4;10.3;21.4;23.3;18.8;22.8
297;2020;20;AMIENS;Français;108.7;Garçon;261.7;41.0;4.7;12.2;23.9;24.9;17.4;16.9
306;2020;22;LIMOGES;Mathématiques;114.0;Garçon;266.9;46.5;4.8;11.6;22.2;22.4;17.6;21.4
311;2020;23;NICE;Mathématiques;115.7;Fille;251.3;43.6;9.7;18.2;25.5;20.5;12.6;13.5
320;2020;25;VERSAILLES;Français;123.2;Fille;279.2;49.2;3.5;8.7;16.6;20.6;19.1;31.6
327;2020;27;CORSE;Français;110.1;Garçon;260.9;42.2;5.6;13.0;23.5;23.4;16.9;17.5
330;2020;27;CORSE;Mathématiques;110.1;Garçon;251.9;45.1;10.4;18.4;24.8;18.4;14.2;13.8
333;2020;28;LA REUNION;Français;97.3;Garçon;253.0;42.0;8.1;17.0;25.3;22.8;13.9;12.9
336;2020;28;LA REUNION;Mathématiques;97.3;Garçon;248.8;45.9;11.7;20.3;24.7;18.9;10.9;13.4
340;2020;31;MARTINIQUE;Mathématiques;104.1;Ensemble;235.6;44.5;19.4;24.5;23.9;15.6;8.5;8.1
342;2020;31;MARTINIQUE;Mathématiques;104.1;Garçon;238.1;44.6;17.4;24.5;23.5;16.4;9.1;9.1
346;2020;32;GUADELOUPE;Mathématiques;99.6;Ensemble;225.9;43.2;26.8;28.3;20.9;12.3;5.8;5.9
347;2020;32;GUADELOUPE;Mathématiques;99.6;Fille;223.0;40.2;28.1;29.4;20.3;12.7;5.1;4.4
349;2020;33;GUYANE;Français;87.3;Ensemble;231.2;39.9;20.7;25.2;25.0;16.0;8.1;4.9
350;2020;33;GUYANE;Français;87.3;Fille;229.8;39.7;21.9;26.1;23.7;16.2;7.9;4.1
355;2020;43;MAYOTTE;Français;72.2;Ensemble;200.3;40.4;52.5;23.9;13.0;6.4;2.6;1.5
357;2020;43;MAYOTTE;Français;72.2;Garçon;197.2;40.6;53.8;24.6;11.8;6.2;2.4;1.2
360;2020;43;MAYOTTE;Mathématiques;72.2;Garçon;190.6;37.4;64.5;19.3;10.5;3.1;1.4;1.2
369;2020;;NATIONAL;Français;114.9;Garçon;267.7;44.1;4.5;10.3;20.3;24.0;19.3;21.7
379;2021;02;AIX-MARSEILLE;Français;113.9;Ensemble;269.4;44.3;4.2;10.1;19.9;23.4;19.0;23.4
383;2021;02;AIX-MARSEILLE;Mathématiques;113.9;Fille;243.3;46.1;15.4;21.3;23.4;17.8;10.8;11.3
387;2021;03;BESANCON;Français;113.7;Garçon;269.9;39.9;2.7;8.6;19.7;26.7;21.1;21.1
394;2021;04;BORDEAUX;Mathématiques;119.5;Ensemble;260.8;47.1;7.2;14.7;22.6;21.3;15.5;18.9
400;2021;06;CLERMONT-FERRAND;Mathématiques;116.1;Ensemble;262.5;48.3;7.3;14.0;21.0;22.0;15.4;20.4
402;2021;06;CLERMONT-FERRAND;Mathématiques;116.1;Garçon;271.1;50.3;5.7;11.2;17.6;22.3;16.7;26.5
406;2021;07;DIJON;Mathématiques;112.9;Ensemble;255.8;47.5;9.3;16.8;22.7;21.0;13.6;16.6
411;2021;08;GRENOBLE;Français;119.0;Garçon;270.7;41.0;3.0;8.9;19.5;24.9;20.7;23.0
423;2021;10;LYON;Français;117.6;Garçon;269.8;43.2;3.9;9.5;19.4;24.3;19.3;23.5
430;2021;11;MONTPELLIER;Mathématiques;112.5;Ensemble;251.6;47.4;11.3;18.1;23.1;20.2;12.5;14.9
435;2021;12;NANCY-METZ;Français;111.5;Garçon;268.3;40.3;3.1;9.1;21.3;26.3;19.8;20.4
449;2021;14;RENNES;Mathématiques;119.3;Fille;257.1;42.7;6.4;15.8;24.2;23.5;15.0;15.0
452;2021;15;STRASBOURG;Français;114.6;Fille;277.7;43.6;1.9;7.3;17.8;23.6;20.9;28.4
454;2021;15;STRASBOURG;Mathématiques;114.6;Ensemble;259.5;49.3;8.6;15.5;21.9;20.5;14.7;18.8
455;2021;15;STRASBOURG;Mathématiques;114.6;Fille;251.9;46.4;10.7;18.1;23.8;19.9;13.5;14.1
458;2021;16;TOULOUSE;Français;120.5;Fille;283.5;44.8;1.6;5.9;15.7;22.0;21.9;32.9
460;2021;16;TOULOUSE;Mathématiques;120.5;Ensemble;263.9;50.3;7.5;14.0;21.0;20.8;15.0;21.8
462;2021;16;TOULOUSE;Mathématiques;120.5;Garçon;272.2;52.4;5.7;11.5;18.3;21.0;16.6;27.0
463;2021;17;NANTES;Français;118.8;Ensemble;277.4;41.3;2.0;6.0;17.4;24.5;22.9;27.2
469;2021;18;ORLEANS-TOURS;Français;114.9;Ensemble;273.4;41.4;2.4;8.0;19.0;24.8;21.3;24.5
472;2021;18;ORLEANS-TOURS;Mathématiques;114.9;Ensemble;255.2;46.4;8.8;17.4;23.3;20.9;13.9;15.7
483;2021;20;AMIENS;Français;109.2;Garçon;261.8;40.0;3.8;12.7;24.6;24.7;18.1;16.0
496;2021;23;NICE;Mathématiques;115.9;Ensemble;253.7;47.5;10.4;17.5;23.0;20.3;12.9;15.9
514;2021;27;CORSE;Mathématiques;110.3;Ensemble;240.7;43.6;15.6;21.6;24.5;18.9;10.4;8.9
519;2021;28;LA REUNION;Français;97.5;Garçon;254.4;40.2;6.1;16.1;27.6;22.8;14.0;13.4
520;2021;28;LA REUNION;Mathématiques;97.5;Ensemble;235.3;45.4;21.3;24.1;22.4;14.8;8.5;8.9
524;2021;31;MARTINIQUE;Français;104.8;Fille;261.1;40.8;4.6;13.1;24.4;24.2;17.6;16.2
525;2021;31;MARTINIQUE;Français;104.8;Garçon;253.7;38.0;6.0;15.0;27.8;24.7;15.3;11.2
530;2021;32;GUADELOUPE;Français;99.9;Fille;258.2;42.0;6.4;14.3;23.3;24.3;16.6;15.2
532;2021;32;GUADELOUPE;Mathématiques;99.9;Ensemble;222.7;44.6;32.3;24.1;19.7;11.4;6.7;5.7
533;2021;32;GUADELOUPE;Mathématiques;99.9;Fille;218.3;43.0;35.2;26.0;17.8;10.1;6.7;4.2
536;2021;33;GUYANE;Français;87.6;Fille;239.3;40.7;16.1;20.8;28.0;16.3;11.0;7.9
538;2021;33;GUYANE;Mathématiques;87.6;Ensemble;208.6;42.2;46.2;24.8;14.4;7.2;4.1;3.2
539;2021;33;GUYANE;Mathématiques;87.6;Fille;203.2;39.5;51.7;24.7;13.3;4.7;3.1;2.5
542;2021;43;MAYOTTE;Français;72.4;Fille;209.2;42.7;43.2;24.3;16.6;8.5;4.5;2.8
553;2021;;NATIONAL;Français;115.2;Ensemble;272.4;44.0;3.5;8.9;18.9;23.7;20.0;25.0
561;2022;01;PARIS;Français;132.1;Garçon;283.1;49.8;3.6;8.4;13.8;19.1;19.0;36.2
565;2022;02;AIX-MARSEILLE;Français;114.3;Ensemble;266.7;43.6;4.6;11.5;20.6;23.0;18.6;21.7
579;2022;04;BORDEAUX;Français;118.0;Garçon;271.0;41.9;3.1;9.1;19.6;24.0;20.6;23.5
589;2022;07;DIJON;Français;112.5;Ensemble;269.8;41.4;2.9;9.7;20.4;23.9;20.5;22.5
592;2022;07;DIJON;Mathématiques;112.5;Ensemble;256.1;48.4;10.3;16.0;21.0;20.8;14.8;17.0
595;2022;08;GRENOBLE;Français;118.3;Ensemble;274.1;42.1;2.4;8.4;18.2;23.8;20.8;26.3
608;2022;10;LYON;Français;117.5;Fille;275.4;44.0;2.9;8.2;18.0;22.8;20.8;27.3
612;2022;10;LYON;Mathématiques;117.5;Garçon;270.2;54.1;7.7;11.3;17.9;19.7;16.6;26.8
621;2022;12;NANCY-METZ;Français;110.4;Garçon;266.1;41.5;3.6;11.0;22.0;24.5;19.3;19.6
623;2022;12;NANCY-METZ;Mathématiques;110.4;Fille;251.0;45.1;10.6;18.6;23.8;20.0;13.5;13.5
626;2022;13;POITIERS;Français;115.4;Fille;273.2;40.2;1.8;8.4;19.3;24.2;21.5;24.7
629;2022;13;POITIERS;Mathématiques;115.4;Fille;247.5;43.9;12.0;19.5;23.4;21.0;12.2;11.9
635;2022;14;RENNES;Mathématiques;119.3;Fille;257.8;44.0;6.9;15.5;23.7;22.7;15.2;16.0
