Country;Very_Often_% ;Achiev_Very_Often;Often_% ;Achiev_Often;Sometimes_% ;Achiev_Sometimes;Avg_Scale_Score
Albania;40;526;40;503;20;490;11.4
Armenia;19;523;60;515;21;499;10.5
Azerbaijan;15;518;58;505;28;462;10.1
Bahrain;28;476;53;459;19;452;10.9
Belgium (Flemish);11;544;50;526;39;517;9.7
Belgium (French);15;510;55;497;30;479;10.1
Bosnia & Herzegovina;30;467;56;453;14;424;11.1
Brazil;9;431;47;409;44;390;9.5
Bulgaria;20;561;51;547;30;484;10.0
Chile;23;470;51;446;26;427;10.5
Chinese Taipei;11;630;43;614;46;596;9.6
Cyprus;25;539;52;518;23;501;10.7
Czech Republic;22;541;60;537;18;532;10.7
Denmark;12;541;54;527;34;520;9.9
Finland;10;551;56;536;34;527;9.9
France;21;509;57;488;22;466;10.5
Georgia;33;504;52;500;15;483;11.2
Germany;15;551;60;537;25;529;10.3
Hong Kong SAR;9;629;44;610;47;575;9.5
Hungary;25;550;57;537;18;499;10.8
Iran;9;442;54;427;37;407;9.7
Ireland;33;566;50;548;17;523;11.2
Italy;21;525;60;514;19;507;10.6
Japan;8;614;40;600;53;584;9.2
Jordan;13;455;56;430;31;418;10.0
Kazakhstan;36;500;52;484;13;469;11.3
Korea Rep of;34;615;48;592;17;567;11.1
Kosovo;31;472;57;458;12;428;11.1
Kuwait;16;404;57;388;26;373;10.3
Latvia;24;548;58;540;18;529;10.8
Lithuania;25;576;56;565;20;561;10.7
Macao SAR;6;607;44;592;50;571;9.3
Montenegro;32;490;54;478;14;461;11.2
Morocco;5;427;36;408;59;383;8.3
North Macedonia;32;493;53;473;15;445;11.1
Norway;13;558;54;544;32;533;10.1
Oman;18;448;59;420;23;401;10.4
Poland;30;558;57;544;13;540;11.1
Portugal;17;538;55;523;28;499;10.3
Qatar;28;478;49;466;23;444;10.8
Romania;31;568;51;553;18;532;11.0
Saudi Arabia;27;431;50;424;24;411;10.7
Serbia;30;531;56;526;14;499;11.1
Singapore;25;642;43;628;32;615;10.5
Slovak Republic;26;532;55;521;19;476;10.7
Slovenia;22;525;57;518;21;509;10.6
South Africa;11;426;48;381;41;339;9.7
Spain;19;519;55;503;25;488;10.4
Sweden;11;540;52;538;37;533;9.8
Türkiye;18;592;52;560;30;529;10.2
United Arab Emirates;28;527;47;512;25;496;10.8
Uzbekistan;21;458;69;444;10;418;10.9
International Average;21;523;53;507;26;487;
Canada;34;538;48;517;18;509;11.2
Quebec Canada;25;543;54;519;21;506;10.7
Sharjah UAE;31;531;46;519;23;501;10.9
Abu Dhabi UAE;23;498;48;485;29;468;10.5
Dubai UAE;30;576;48;563;22;553;10.9
